epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.583558201789856,0.6946946382522583,1e-04,0.5309455394744873,0.6756004691123962
1,0.6213347911834717,0.6540971994400024,1e-04,0.656733512878418,0.6457302570343018
2,0.6404929161071777,0.6343608498573303,1e-04,0.6679083108901978,0.6326627731323242
3,0.6471487879753113,0.6304681301116943,1e-04,0.6822349429130554,0.6370882987976074
4,0.6537147164344788,0.6213473081588745,1e-04,0.6865329742431641,0.622867226600647
5,0.6634286642074585,0.6131009459495544,1e-04,0.7060171961784363,0.6173394322395325
6,0.6748515963554382,0.6006838083267212,1e-04,0.68767911195755,0.6111844182014465
7,0.6729627847671509,0.6002426743507385,1e-04,0.7103151679039001,0.6079381108283997
8,0.677370011806488,0.5960925221443176,1e-04,0.7074498534202576,0.5982807278633118
9,0.6844756007194519,0.5875867009162903,1e-04,0.7326647639274597,0.5977435111999512
10,0.6928404569625854,0.5794855952262878,1e-04,0.7111747860908508,0.5906247496604919
11,0.6928404569625854,0.5791305303573608,1e-04,0.736389696598053,0.5824242830276489
12,0.7005756497383118,0.5686688423156738,1e-04,0.7409741878509521,0.5578227043151855
13,0.7061522006988525,0.5620560050010681,1e-04,0.7212034463882446,0.5726361274719238
14,0.7064220309257507,0.5621373057365417,1e-04,0.6919770836830139,0.5784207582473755
15,0.7119086384773254,0.5592741966247559,1e-04,0.737535834312439,0.5608832836151123
16,0.7194639444351196,0.5538493394851685,1e-04,0.7143266201019287,0.562355637550354
17,0.7191941142082214,0.5503102540969849,1e-04,0.7564470171928406,0.5533071160316467
18,0.7236013412475586,0.5402886271476746,1e-04,0.7538682222366333,0.550778865814209
19,0.7276488542556763,0.5415752530097961,1e-04,0.7627507448196411,0.5395123958587646
20,0.7250404953956604,0.5384156107902527,1e-04,0.7518624663352966,0.5426172018051147
21,0.73178631067276,0.531083881855011,1e-04,0.7435529828071594,0.5415736436843872
22,0.727199137210846,0.5323194265365601,1e-04,0.7478510141372681,0.5375565886497498
23,0.7343946695327759,0.5259111523628235,1e-04,0.7641834020614624,0.5243576765060425
24,0.7322360277175903,0.5266432762145996,1e-04,0.7667621970176697,0.5330650210380554
25,0.7400611639022827,0.5208719372749329,1e-04,0.7232091426849365,0.5376966595649719
26,0.7441986203193665,0.5150700807571411,1e-04,0.7765042781829834,0.5067821145057678
27,0.7446483373641968,0.5189738273620605,1e-04,0.7664756178855896,0.5190813541412354
28,0.7469868659973145,0.5108789205551147,1e-04,0.7650429606437683,0.5103302597999573
29,0.7459075450897217,0.5110801458358765,1e-04,0.7644699215888977,0.5204504728317261
0,0.5415772199630737,0.8218613862991333,1e-04,0.5,0.713020384311676
0,0.5130957365036011,0.9035112857818604,1e-04,0.5025787949562073,0.6947786808013916
1,0.5384284853935242,0.801680862903595,1e-04,0.514899730682373,0.6998932361602783
